generation genome measures value
6 23 sensors 0
6 23 symmetry 0
6 23 total_components 0.09
6 25 branching 0
6 25 connectivity1 0.1
6 25 connectivity2 1
6 25 coverage 1
6 25 effective_joints 0
6 25 length_ratio 0.071
6 25 sensors 0
6 25 symmetry 0
6 25 total_components 0.14
6 33 branching 0
6 33 connectivity1 0.111
6 33 connectivity2 1
6 33 coverage 1
6 33 effective_joints 0
6 33 length_ratio 0.077
6 33 sensors 0
6 33 symmetry 0
6 33 total_components 0.13
6 22 branching 0
6 22 connectivity1 0.1
6 22 connectivity2 1
6 22 coverage 1
6 22 effective_joints 0
6 22 length_ratio 0.071
6 22 sensors 0
6 22 symmetry 0
6 22 total_components 0.14
6 18 branching 0
6 18 connectivity1 0.333
6 18 connectivity2 1
6 18 coverage 1
6 18 effective_joints 0
6 18 length_ratio 0.25
6 18 sensors 0
6 18 symmetry 0
6 18 total_components 0.04
6 32 branching 0
6 32 connectivity1 1
6 32 connectivity2 0
6 32 coverage 1
6 32 effective_joints 0
6 32 length_ratio 0.5
6 32 sensors 0.333333
6 32 symmetry 0
6 32 total_components 0.02
6 2 branching 0
6 2 connectivity1 0.111
6 2 connectivity2 1
6 2 coverage 1
6 2 effective_joints 0
6 2 length_ratio 0.077
6 2 sensors 0
6 2 symmetry 0
6 2 total_components 0.13
6 6 branching 0
6 6 connectivity1 0.111
6 6 connectivity2 1
6 6 coverage 0.52
6 6 effective_joints 0
6 6 length_ratio 1
6 6 sensors 0.181818
6 6 symmetry 0
6 6 total_components 0.13
6 7 branching 0
6 7 connectivity1 0.167
6 7 connectivity2 1
6 7 coverage 0.667
6 7 effective_joints 0.333
6 7 length_ratio 0.75
6 7 sensors 0.166667
6 7 symmetry 0
6 7 total_components 0.08
7 36 branching 0
7 36 connectivity1 0.25
7 36 connectivity2 1
7 36 coverage 0.5
7 36 effective_joints 0.5
7 36 length_ratio 0.75
7 36 sensors 0.25
7 36 symmetry 0
7 36 total_components 0.06
7 32 branching 0
7 32 connectivity1 1
7 32 connectivity2 0
7 32 coverage 1
7 32 effective_joints 0
7 32 length_ratio 0.5
7 32 sensors 0.333333
7 32 symmetry 0
7 32 total_components 0.02
7 39 branching 0
7 39 connectivity1 0.143
7 39 connectivity2 1
7 39 coverage 0.333
7 39 effective_joints 0
7 39 length_ratio 0.833
7 39 sensors 0.142857
7 39 symmetry 0
7 39 total_components 0.1
7 7 branching 0
7 7 connectivity1 0.167
7 7 connectivity2 1
7 7 coverage 0.667
7 7 effective_joints 0.333
7 7 length_ratio 0.75
7 7 sensors 0.166667
7 7 symmetry 0
7 7 total_components 0.08
7 33 branching 0
7 33 connectivity1 0.111
7 33 connectivity2 1
7 33 coverage 1
7 33 effective_joints 0
7 33 length_ratio 0.077
7 33 sensors 0
7 33 symmetry 0
7 33 total_components 0.13
7 23 branching 0
7 23 connectivity1 0.167
7 23 connectivity2 1
7 23 coverage 1
7 23 effective_joints 0
7 23 length_ratio 0.111
7 23 sensors 0
7 23 symmetry 0
7 23 total_components 0.09
7 37 branching 0
7 37 connectivity1 0.333
7 37 connectivity2 0.714
7 37 coverage 0.429
7 37 effective_joints 0
7 37 length_ratio 0.429
7 37 sensors 0.428571
7 37 symmetry 1
7 37 total_components 0.09
7 2 branching 0
7 2 connectivity1 0.111
7 2 connectivity2 1
7 2 coverage 1
7 2 effective_joints 0
7 2 length_ratio 0.077
7 2 sensors 0
7 2 symmetry 0
7 2 total_components 0.13
7 18 branching 0
7 18 connectivity1 0.333
7 18 connectivity2 1
7 18 coverage 1
7 18 effective_joints 0
7 18 length_ratio 0.25
7 18 sensors 0
7 18 symmetry 0
7 18 total_components 0.04
7 6 branching 0
7 6 connectivity1 0.111
7 6 connectivity2 1
7 6 coverage 0.52
7 6 effective_joints 0
7 6 length_ratio 1
7 6 sensors 0.181818
7 6 symmetry 0
7 6 total_components 0.13
8 23 branching 0
8 23 connectivity1 0.167
8 23 connectivity2 1
8 23 coverage 1
8 23 effective_joints 0
8 23 length_ratio 0.111
8 23 sensors 0
8 23 symmetry 0
8 23 total_components 0.09
8 41 branching 0
8 41 connectivity1 0.1
8 41 connectivity2 1
8 41 coverage 0.273
8 41 effective_joints 0
8 41 length_ratio 0.455
8 41 sensors 0.111111
8 41 symmetry 0
8 41 total_components 0.15
8 32 branching 0
8 32 connectivity1 1
8 32 connectivity2 0
8 32 coverage 1
8 32 effective_joints 0
8 32 length_ratio 0.5
8 32 sensors 0.333333
8 32 symmetry 0
8 32 total_components 0.02
8 33 branching 0
8 33 connectivity1 0.111
8 33 connectivity2 1
8 33 coverage 1
8 33 effective_joints 0
8 33 length_ratio 0.077
8 33 sensors 0
8 33 symmetry 0
8 33 total_components 0.13
8 44 branching 0
8 44 connectivity1 0.333
8 44 connectivity2 0.714
8 44 coverage 0.429
8 44 effective_joints 0
8 44 length_ratio 0.429
8 44 sensors 0.428571
8 44 symmetry 1
8 44 total_components 0.09
8 36 branching 0
8 36 connectivity1 0.25
8 36 connectivity2 1
8 36 coverage 0.5
8 36 effective_joints 0.5
8 36 length_ratio 0.75
8 36 sensors 0.25
8 36 symmetry 0
8 36 total_components 0.06
8 43 branching 0
8 43 connectivity1 0.143
8 43 connectivity2 1
8 43 coverage 0.667
8 43 effective_joints 0.5
8 43 length_ratio 0.6
8 43 sensors 0.222222
8 43 symmetry 0.75
8 43 total_components 0.1
8 7 branching 0
8 7 connectivity1 0.167
8 7 connectivity2 1
8 7 coverage 0.667
8 7 effective_joints 0.333
8 7 length_ratio 0.75
8 7 sensors 0.166667
8 7 symmetry 0
8 7 total_components 0.08
8 42 branching 0
8 42 connectivity1 0.111
8 42 connectivity2 1
8 42 coverage 1
8 42 effective_joints 0
8 42 length_ratio 0.077
8 42 sensors 0
8 42 symmetry 0
8 42 total_components 0.13
8 2 branching 0
8 2 connectivity1 0.111
8 2 connectivity2 1
8 2 coverage 1
8 2 effective_joints 0
8 2 length_ratio 0.077
8 2 sensors 0
8 2 symmetry 0
8 2 total_components 0.13
9 44 branching 0
9 44 connectivity1 0.333
9 44 connectivity2 0.714
9 44 coverage 0.429
9 44 effective_joints 0
9 44 length_ratio 0.429
9 44 sensors 0.428571
9 44 symmetry 1
9 44 total_components 0.09
9 33 branching 0
9 33 connectivity1 0.111
9 33 connectivity2 1
9 33 coverage 1
9 33 effective_joints 0
9 33 length_ratio 0.077
9 33 sensors 0
9 33 symmetry 0
9 33 total_components 0.13
9 32 branching 0
9 32 connectivity1 1
9 32 connectivity2 0
9 32 coverage 1
9 32 effective_joints 0
9 32 length_ratio 0.5
9 32 sensors 0.333333
9 32 symmetry 0
9 32 total_components 0.02
9 47 branching 0
9 47 connectivity1 0.1
9 47 connectivity2 1
9 47 coverage 1
9 47 effective_joints 0
9 47 length_ratio 0.067
9 47 sensors 0
9 47 symmetry 0
9 47 total_components 0.15
9 2 branching 0
9 2 connectivity1 0.111
9 2 connectivity2 1
9 2 coverage 1
9 2 effective_joints 0
9 2 length_ratio 0.077
9 2 sensors 0
9 2 symmetry 0
9 2 total_components 0.13
9 46 branching 0
9 46 connectivity1 0.1
9 46 connectivity2 1
9 46 coverage 1
9 46 effective_joints 0
9 46 length_ratio 0.067
9 46 sensors 0
9 46 symmetry 0
9 46 total_components 0.15
9 41 branching 0
9 41 connectivity1 0.1
9 41 connectivity2 1
9 41 coverage 0.273
9 41 effective_joints 0
9 41 length_ratio 0.455
9 41 sensors 0.111111
9 41 symmetry 0
9 41 total_components 0.15
9 49 branching 0
9 49 connectivity1 0.167
9 49 connectivity2 1
9 49 coverage 0.75
9 49 effective_joints 0.5
9 49 length_ratio 0.75
9 49 sensors 0.166667
9 49 symmetry 0
9 49 total_components 0.09
9 42 branching 0
9 42 connectivity1 0.111
9 42 connectivity2 1
9 42 coverage 1
9 42 effective_joints 0
9 42 length_ratio 0.077
9 42 sensors 0
9 42 symmetry 0
9 42 total_components 0.13
9 36 branching 0
9 36 connectivity1 0.25
9 36 connectivity2 1
9 36 coverage 0.5
9 36 effective_joints 0.5
9 36 length_ratio 0.75
9 36 sensors 0.25
9 36 symmetry 0
9 36 total_components 0.06
10 47 branching 0
10 47 connectivity1 0.1
10 47 connectivity2 1
10 47 coverage 1
10 47 effective_joints 0
10 47 length_ratio 0.067
10 47 sensors 0
10 47 symmetry 0
10 47 total_components 0.15
10 50 branching 0
10 50 connectivity1 0.167
10 50 connectivity2 1
10 50 coverage 1
10 50 effective_joints 0
10 50 length_ratio 0.111
10 50 sensors 0
10 50 symmetry 0
10 50 total_components 0.09
10 41 branching 0
10 41 connectivity1 0.1
10 41 connectivity2 1
10 41 coverage 0.273
10 41 effective_joints 0
10 41 length_ratio 0.455
10 41 sensors 0.111111
10 41 symmetry 0
10 41 total_components 0.15
10 44 branching 0
10 44 connectivity1 0.333
10 44 connectivity2 0.714
10 44 coverage 0.429
10 44 effective_joints 0
10 44 length_ratio 0.429
10 44 sensors 0.428571
10 44 symmetry 1
10 44 total_components 0.09
10 51 branching 0
10 51 connectivity1 0.1
10 51 connectivity2 1
10 51 coverage 1
10 51 effective_joints 0
10 51 length_ratio 0.067
10 51 sensors 0
10 51 symmetry 0
10 51 total_components 0.15
10 32 branching 0
10 32 connectivity1 1
10 32 connectivity2 0
10 32 coverage 1
10 32 effective_joints 0
10 32 length_ratio 0.5
10 32 sensors 0.333333
10 32 symmetry 0
10 32 total_components 0.02
10 53 branching 0
10 53 connectivity1 0.1
10 53 connectivity2 1
10 53 coverage 1
10 53 effective_joints 0
10 53 length_ratio 0.067
10 53 sensors 0
10 53 symmetry 0
10 53 total_components 0.15
10 49 branching 0
10 49 connectivity1 0.167
10 49 connectivity2 1
10 49 coverage 0.75
10 49 effective_joints 0.5
10 49 length_ratio 0.75
10 49 sensors 0.166667
10 49 symmetry 0
10 49 total_components 0.09
10 42 branching 0
10 42 connectivity1 0.111
10 42 connectivity2 1
10 42 coverage 1
10 42 effective_joints 0
10 42 length_ratio 0.077
10 42 sensors 0
10 42 symmetry 0
10 42 total_components 0.13
10 46 branching 0
10 46 connectivity1 0.1
10 46 connectivity2 1
10 46 coverage 1
10 46 effective_joints 0
10 46 length_ratio 0.067
10 46 sensors 0
10 46 symmetry 0
10 46 total_components 0.15
